country,month,sector,sum,min,max,mean
Brazil,03/2020,Industry,9.674198,0.202402,0.42653,0.3120709032258065
Brazil,03/2020,International Aviation,0.42520424,0.0034946,0.0192749,0.013716265806451614
Brazil,03/2020,Power,4.316726,0.090314,0.190322,0.1392492258064516
Brazil,03/2020,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,03/2021,Domestic Aviation,0.5453397,0.0108014,0.0234362,0.01759160322580645
Brazil,03/2021,Ground Transport,13.057029,0.227714,0.484566,0.42119448387096775
Brazil,03/2021,Industry,10.830297999999999,0.266054,0.397223,0.3493644516129032
Brazil,03/2021,International Aviation,0.20792171,0.00517372,0.00808767,0.0067071519354838715
Brazil,03/2021,Power,6.637503,0.163055,0.243444,0.214113
Brazil,03/2021,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,03/2022,Domestic Aviation,0.8522452,0.0213331,0.0295774,0.027491780645161293
Brazil,03/2022,Ground Transport,14.587133,0.362865,0.504459,0.4705526774193548
Brazil,03/2022,Industry,10.592295,0.233211,0.422727,0.34168693548387097
Brazil,03/2022,International Aviation,0.3734617,0.0104986,0.0134026,0.012047151612903225
Brazil,03/2022,Power,4.283325,0.094306,0.170943,0.13817177419354837
Brazil,03/2022,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,03/2023,Domestic Aviation,0.9626292,0.0257971,0.0333982,0.031052554838709678
Brazil,03/2023,Ground Transport,14.910137,0.404616,0.501142,0.4809721612903226
Brazil,03/2023,Industry,10.2006,0.283789,0.36715,0.3290516129032258
Brazil,03/2023,International Aviation,0.4837843,0.0144207,0.0166546,0.015605945161290323
Brazil,03/2023,Power,2.830221,0.078739,0.101868,0.09129745161290322
Brazil,03/2023,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,04/2019,Domestic Aviation,0.769131,0.0155715,0.0290523,0.0256377
Brazil,04/2019,Ground Transport,14.163522,0.325417,0.504113,0.4721174
Brazil,04/2019,Industry,10.595896,0.291791,0.453406,0.35319653333333334
Brazil,04/2019,International Aviation,0.5196011,0.0119651,0.0204966,0.017320036666666667
Brazil,04/2019,Power,4.701886,0.129481,0.201197,0.15672953333333334
Brazil,04/2019,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,04/2020,Domestic Aviation,0.09422728,0.0017136,0.00406179,0.003140909333333333
Brazil,04/2020,Ground Transport,8.8235668,0.0957228,0.403948,0.29411889333333335
Brazil,04/2020,Industry,7.229999,0.176871,0.334435,0.24099996666666668
Brazil,04/2020,International Aviation,0.06003922,0.00105493,0.00355568,0.002001307333333333
Brazil,04/2020,Power,3.09841,0.075798,0.143322,0.10328033333333334
Brazil,04/2020,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,04/2021,Domestic Aviation,0.39426009,0.00890529,0.0152908,0.013142003000000001
Brazil,04/2021,Ground Transport,13.031468,0.244708,0.494923,0.4343822666666667
Brazil,04/2021,Industry,10.145297,0.224967,0.409623,0.3381765666666666
Brazil,04/2021,International Aviation,0.20262253,0.00598418,0.00789108,0.006754084333333333
Brazil,04/2021,Power,6.440238,0.142809,0.260029,0.2146746
Brazil,04/2021,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,04/2022,Domestic Aviation,0.8225447,0.0210819,0.0302327,0.02741815666666667
Brazil,04/2022,Ground Transport,13.919874,0.341901,0.505661,0.4639958
Brazil,04/2022,Industry,10.089099000000001,0.264289,0.408709,0.3363033
Brazil,04/2022,International Aviation,0.3802472,0.011474,0.0142019,0.012674906666666668
Brazil,04/2022,Power,2.418046,0.063342,0.097955,0.08060153333333334
Brazil,04/2022,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,04/2023,Domestic Aviation,0.9043702,0.0218901,0.0339566,0.030145673333333334
Brazil,04/2023,Ground Transport,13.808088,0.313679,0.500969,0.4602696
Brazil,04/2023,Industry,10.199208,0.245611,0.434219,0.33997360000000004
Brazil,04/2023,International Aviation,0.46769879999999997,0.0144211,0.0170823,0.015589959999999998
Brazil,04/2023,Power,3.206504,0.077217,0.136513,0.10688346666666666
Brazil,04/2023,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,05/2019,Domestic Aviation,0.7394298,0.0186623,0.0258816,0.023852574193548387
Brazil,05/2019,Ground Transport,14.790308,0.377029,0.503326,0.47710670967741936
Brazil,05/2019,Industry,11.468498,0.272932,0.459862,0.36995154838709676
Brazil,05/2019,International Aviation,0.5300513,0.0151084,0.0183275,0.017098429032258066
Brazil,05/2019,Power,4.228855,0.10064,0.169568,0.13641467741935484
Brazil,05/2019,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,05/2020,Domestic Aviation,0.12449205,0.00224616,0.00560257,0.0040158725806451615
Brazil,05/2020,Ground Transport,9.731634,0.10888,0.414289,0.31392367741935484
Brazil,05/2020,Industry,8.752,0.218913,0.389735,0.2823225806451613
Brazil,05/2020,International Aviation,0.08420367,0.00147077,0.00409455,0.0027162474193548384
Brazil,05/2020,Power,3.251806,0.081337,0.144806,0.10489696774193549
Brazil,05/2020,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,05/2021,Domestic Aviation,0.5073329,0.0122818,0.019973,0.016365577419354838
Brazil,05/2021,Ground Transport,14.217731,0.31441,0.501696,0.4586364838709678
Brazil,05/2021,Industry,11.025795,0.174719,0.594167,0.3556708064516129
Brazil,05/2021,International Aviation,0.23059002,0.00633855,0.00864251,0.007438387741935484
Brazil,05/2021,Power,7.069684,0.112029,0.380977,0.22805432258064515
Brazil,05/2021,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,05/2022,Domestic Aviation,0.8823375,0.023402,0.0310412,0.028462499999999998
Brazil,05/2022,Ground Transport,14.617407,0.359398,0.502957,0.4715292580645161
Brazil,05/2022,Industry,11.211101,0.282903,0.425213,0.3616484193548387
Brazil,05/2022,International Aviation,0.3964507,0.0113582,0.014578,0.012788732258064517
Brazil,05/2022,Power,2.672285,0.067433,0.101354,0.08620274193548387
Brazil,05/2022,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,05/2023,Domestic Aviation,0.9658984,0.0262727,0.0331222,0.03115801290322581
Brazil,05/2023,Ground Transport,14.628857,0.292225,0.499768,0.4718986129032258
Brazil,05/2023,Industry,10.782097,0.312757,0.416003,0.3478095806451613
Brazil,05/2023,International Aviation,0.4804778,0.014307,0.0164862,0.015499283870967741
Brazil,05/2023,Power,2.702034,0.078378,0.104252,0.0871623870967742
Brazil,05/2023,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,06/2019,Domestic Aviation,0.7290564,0.0167954,0.0273624,0.02430188
Brazil,06/2019,Ground Transport,14.064471000000001,0.385993,0.501186,0.46881570000000006
Brazil,06/2019,Industry,10.723497,0.295945,0.47751,0.3574499
Brazil,06/2019,International Aviation,0.5269352,0.0152789,0.0195689,0.017564506666666667
Brazil,06/2019,Power,3.8282,0.10565,0.170467,0.12760666666666667
Brazil,06/2019,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,06/2020,Domestic Aviation,0.17463801,0.00307035,0.00857711,0.005821267000000001
Brazil,06/2020,Ground Transport,11.396746,0.145297,0.447167,0.37989153333333336
Brazil,06/2020,Industry,9.692995,0.260515,0.367955,0.3230998333333333
Brazil,06/2020,International Aviation,0.09653121,0.00193159,0.00445471,0.003217707
Brazil,06/2020,Power,3.906519,0.104994,0.148295,0.1302173
Brazil,06/2020,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,06/2021,Domestic Aviation,0.6008851,0.0139415,0.0228165,0.02002950333333333
Brazil,06/2021,Ground Transport,13.641793,0.290437,0.49871,0.45472643333333335
Brazil,06/2021,Industry,10.977996,0.285552,0.405078,0.36593319999999996
Brazil,06/2021,International Aviation,0.22021753,0.00578695,0.00847991,0.007340584333333333
Brazil,06/2021,Power,11.042038999999999,0.287218,0.407441,0.36806796666666663
Brazil,06/2021,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,06/2022,Domestic Aviation,0.8283642999999999,0.0193308,0.0306503,0.027612143333333332
Brazil,06/2022,Ground Transport,13.842377,0.314762,0.500258,0.4614125666666667
Brazil,06/2022,Industry,10.998298,0.325002,0.389164,0.36660993333333336
Brazil,06/2022,International Aviation,0.3934964,0.0117498,0.0142135,0.013116546666666668
Brazil,06/2022,Power,3.711956,0.109689,0.131344,0.12373186666666666
Brazil,06/2022,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,07/2019,Domestic Aviation,0.8896946,0.0240037,0.0310807,0.028699825806451612
Brazil,07/2019,Ground Transport,14.699524,0.385993,0.501186,0.4741781935483871
Brazil,07/2019,Industry,11.661994,0.272036,0.479698,0.3761933548387097
Brazil,07/2019,International Aviation,0.5674934,0.0166611,0.0199579,0.01830623870967742
Brazil,07/2019,Power,7.114716,0.165963,0.292653,0.22950696774193546
Brazil,07/2019,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,07/2020,Domestic Aviation,0.28152685,0.00542604,0.0117856,0.00908151129032258
Brazil,07/2020,Ground Transport,12.413591,0.158352,0.461585,0.4004384193548387
Brazil,07/2020,Industry,11.296296,0.306524,0.560552,0.36439664516129033
Brazil,07/2020,International Aviation,0.11161775,0.00193973,0.00439657,0.0036005725806451615
Brazil,07/2020,Power,3.567948,0.096816,0.177051,0.11509509677419355
Brazil,07/2020,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,07/2021,Domestic Aviation,0.8079638,0.0220808,0.0284546,0.026063348387096775
Brazil,07/2021,Ground Transport,14.12834,0.300304,0.491697,0.4557529032258064
Brazil,07/2021,Industry,11.520396999999999,0.301515,0.429755,0.3716257096774193
Brazil,07/2021,International Aviation,0.25328165,0.0068124,0.00929335,0.008170375806451614
Brazil,07/2021,Power,12.140736,0.317751,0.452896,0.3916366451612903
Brazil,07/2021,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,07/2022,Domestic Aviation,1.0079127,0.0300142,0.0340722,0.03251331290322581
Brazil,07/2022,Ground Transport,14.309341,0.350042,0.493308,0.4615916451612903
